Artist,Title,Style,Duration,lien
Serge Gainsbourg,La femme des uns sous le corps des autres,Jazz,181,Genius
Serge Gainsbourg,L'alcool,Jazz,239,Genius
Serge Gainsbourg,Du jazz dans le ravin,Jazz,131,Genius
Serge Gainsbourg,Charleston des déménageurs de piano,Jazz,145,Genius
Magali Noel,L'anguille,Jazz,138,Genius
Henri Salvador,Jazz mediterranee,Jazz,204,Genius
Henri Salvador,Il fait dimanche,Jazz,236,Genius
Henri Salvador,Jardin D'hiver,Jazz,169,Genius
Henri Salvador,Chambre Avec Vue,Jazz,162,Genius
Henri Salvador,J'ai Vu,Jazz,210,Genius
Henri Salvador,La Muraille De Chine,Jazz,201,Genius
Henri Salvador,Un Tour De Manège,Jazz,218,Genius
Henri Salvador,Vagabond,Jazz,202,Genius
Henri Salvador,Je Sais Que Tu Sais,Jazz,266,Genius
Henri Salvador,Mademoiselle,Jazz,233,Genius
Henri Salvador,Le Fou De La Reine,Jazz,190,Genius
Henri Salvador,Faire Des Ronds Dans L'eau,Jazz,168,Genius
Henri Salvador,Aime-moi,Jazz,234,Genius
Henri Salvador,Rock and roll-mops,Rock,137,Genius
Henri Salvador,Dis moi qu'tu m'aimes rock,Rock,147,"https://greatsong.net/PAROLES-HENRI-SALVADOR,DIS-MOI-QUTU-MAIMES-ROCK,100313450.html"
Henri Salvador,"Va t'faire cuire un œuf, man",Rock,152,"https://greatsong.net/PAROLES-HENRI-SALVADOR,VA-T-FAIRE-CUIRE-UN-OEUF-MAN,111651290.html"
Henri Salvador,Rock hoquet,Rock,150,Genius
Magali Noel,Alhambra Rock,Rock,156,https://www.letssingit.com/magali-no%C3%ABl-lyrics-alhambra-rock-hgjv8vk
Magali Noel,"Fais-Moi Mal, Johnny",Rock,158,Genius
Magali Noel,Strip rock,Rock,137,
Annie Cordy,Qu'est-ce que tu as mon vieux,Rock,133,
Moustache,Le rock de Paris,Rock,,
Claude Bolling,Crazy love,Rock,,
Michel Legrand,Rock surprise partie,Rock,,
Marcel Zanini et ses Challengers,Dis-moi oui ou non,Rock,,
Georges Guetary,"Georges, viens danser le rock",Rock,,
Eddie Constantine ,Rock rock,Rock,,
Colette Renard,L'âge atomique,Rock,,
Georges Aber,Comme un tigre,Rock,,
Line Renaud,BILLBOARD DE MON COEUR,Rock,153,
Johnny hallyday,T'aimer follement,Rock,,Genius
Johnny hallyday,"Souvenirs, souvenirs",Rock,,Genius
Johnny hallyday,Itsy bitsy petit bikini,Rock,,Genius
Johnny hallyday,Ce s'rait bien,Rock,,Genius
Johnny hallyday,"Nous les gars, nous les filles",Rock,,Genius
Johnny hallyday,Tu m'plais,Rock,,Genius
Johnny hallyday,Ce n'est pas méchant,Rock,,Genius
Johnny hallyday,Tutti frutti ,Rock,,Genius
Johnny hallyday,Depuis qu'ma môme,Rock,,Genius
Johnny hallyday,Oui j'ai,Rock,,Genius
Johnny hallyday,À New Orleans,Rock,,Genius
Johnny hallyday,Mon vieux copain,Rock,,Genius
Johnny hallyday,Tu es là,Rock,,Genius
Johnny hallyday,Mon vieux copain,Rock,,Genius
Johnny hallyday,Douce Violence,Rock,,Genius
Johnny hallyday,Il faut saisir sa chance,Rock,,Genius
Johnny hallyday,Let's Twist Again ,Rock,,Genius
Johnny hallyday,Tu peux la prendre,Rock,,Genius
Johnny hallyday,Toi qui regrettes,Rock,,Genius
Johnny hallyday,Avec une poignée de terre,Rock,,Genius
Johnny hallyday,Wap dou wap,Rock,,Genius
Johnny hallyday,Si tu me téléphones,Rock,,Genius
Johnny hallyday,Retiens la nuit,Rock,,Genius
Johnny hallyday,Nous quand on s'embrasse,Rock,,Genius
Johnny hallyday,Twist in USA,Rock,,Genius
Johnny hallyday,Toi qui regrettes,Rock,,Genius
Johnny hallyday,Sam'di soir,Rock,,Genius
Johnny hallyday,Viens danser le twist,Rock,,Genius
Johnny hallyday,Let's Twist Again,Rock,,Genius
Johnny hallyday,Douce violence,Rock,,Genius
Johnny hallyday,Danse le twist avec moi,Rock,,Genius
Johnny hallyday,Tu peux la prendre,Rock,,Genius
Johnny hallyday,Avec une poignée de terre,Rock,,Genius
Johnny hallyday,Il faut saisir sa chance,Rock,,Genius
Johnny hallyday,Retiens la nuit,Rock,,Genius
Johnny hallyday,Sam'di soir,Rock,,Genius
Johnny hallyday,"Wap-dou-wap, tu aimes le Twist",Rock,,Genius
Johnny hallyday,Si tu me téléphones,Rock,,Genius
Johnny hallyday,Ya Ya Twist ,Rock,,Genius
Johnny hallyday,La faute au Twist ,Rock,,Genius
Johnny hallyday,Blueberry Hill,Rock,,Genius
Johnny hallyday,I Got a Woman,Rock,,Genius
Johnny hallyday,Be Bop a Lula,Rock,,Genius
Johnny hallyday,Whole Lotta Shakin' Goin' On,Rock,,Genius
Johnny hallyday,Madison Twist,Rock,,Genius
Johnny hallyday,Hey Baby,Rock,,Genius
Johnny hallyday,Une fille comme toi,Rock,,Genius
Johnny hallyday,Serre la main d'un fou ,Rock,,Genius
Johnny hallyday,Pas cette chanson ,Rock,,Genius
Johnny hallyday,Dans un jardin d'amour,Rock,,Genius
Johnny hallyday,Laissez-nous twister ,Rock,,Genius
Les Chaussettes Noires,Je t'aime trop,Rock,,Genius
Les Chaussettes Noires,Parce que tu sais,Rock,,Genius
Les Chaussettes Noires,Daniela,Rock,,Genius
Les Chaussettes Noires,Noël de l'an dernier,Rock,,Genius
Les Chaussettes Noires,Be bop a lula,Rock,,Genius
Les Chaussettes Noires,Quand je te vois,Rock,,Genius
Les Chaussettes Noires,Le twist du père noël,Rock,,Genius
Les Chaussettes Noires,Tant pis pour toi,Rock,,Genius
Les Chaussettes Noires,Peppermint de twist,Rock,,Genius
Les Chaussettes Noires,La leçon de twist,Rock,,Genius
Les Chaussettes Noires,Shout shout,Rock,,Genius
Les Chaussettes Noires,Tu parles trop ,Rock,,Genius
Les Chaussettes Noires,Toi quand tu me quittes,Rock,,Genius
Les Chaussettes Noires,Dactylo rock,Rock,,Genius
Les Chaussettes Noires,"Chérie, oh chérie",Rock,,Genius
Les Chaussettes Noires,Oh Mary-lou,Rock,,Genius
Les Chaussettes Noires,Eddie sois bon,Rock,,Genius
Les Chaussettes Noires,Je voudrais bien dormir,Rock,,Genius
Les Chaussettes Noires,"Hey, Let's Twist",Rock,,Genius
Les Chaussettes Noires,C'est la nuit,Rock,,Genius
Les Chaussettes Noires,Madam' madam',Rock,,Genius
Les Chaussettes Noires,Vivre sa vie,Rock,,Genius
Les Chaussettes Noires,Noël de france,Rock,,Genius
Les Chaussettes Noires,Line,Rock,,Genius
Les Chaussettes Noires,Volage (Infidèle),Rock,,Genius
Les Chaussettes Noires,Oh dis eddie,Rock,,Genius
Les Chaussettes Noires,Le twist,Rock,,Genius
Les Chaussettes Noires,Juste ça,Rock,,Genius
Les Chaussettes Noires,Il revient,Rock,,Genius
Les Chaussettes Noires,Oublie-moi,Rock,,Genius
Les Chaussettes Noires,Les enchaînée,Rock,,Genius
Les Chaussettes Noires,Shake rattle and roll,Rock,,Genius
Les Chaussettes Noires,Boing boing,Rock,,Genius
Les Chaussettes Noires,Betty,Rock,,Genius
Les Chaussettes Noires,Autant de choses,Rock,,Genius
Les Chaussettes Noires,Fou d'elle,Rock,,Genius
Les Chaussettes Noires,La nuit est belle,Rock,,Genius
Les Chaussettes Noires,Le chemin de la joie,Rock,,Genius
Les Chaussettes Noires,Petite soeur d'amour,Rock,,Genius
Les Chaussettes Noires,Ni ton fil ni ton aiguille,Rock,,Genius
Les Chaussettes Noires,Trop jaloux,Rock,,Genius
Les Chaussettes Noires,Non ne lui dis pas,Rock,,Genius
Les Chaussettes Noires,Petite sheila,Rock,,Genius
Les Chaussettes Noires,Rock des karts,Rock,,Genius
Les Chaussettes Noires,Le temps est lent,Rock,,Genius
Les Chaussettes Noires,Roly poly,Rock,,Genius
Les Chaussettes Noires,Jezelbel,Rock,,Genius
Les Chaussettes Noires,Ceci est mon histoire,Rock,,Genius
